Country,Year,Emission
Australia,1884,65952
Australia,1885,175872
Australia,1886,318768
Australia,1887,461664
Australia,1888,703488
Australia,1889,1099200
Australia,1890,1989552
Australia,1891,2879904
Australia,1892,4319856
Australia,1893,9716928
Australia,1894,17015616
Australia,1895,27029328
Australia,1896,39802032
Australia,1897,54135600
Australia,1898,72283392
Australia,1899,88837344
Australia,1900,95828256
Australia,1901,107556720
Australia,1902,125034000
Australia,1903,148721760
Australia,1904,175461632
Australia,1905,206242896
Australia,1906,241395312
Australia,1907,280186080
Australia,1908,320394816
Australia,1909,366550224
Australia,1910,418784208
Australia,1911,469380384
Australia,1912,523241184
Australia,1913,582059376
Australia,1914,640712688
Australia,1915,699530880
Australia,1916,769293440
Australia,1917,845332432
Australia,1918,919532096
Australia,1919,995886192
Australia,1920,1080059264
Australia,1921,1164034480
Australia,1922,1235896512
Australia,1923,1322890864
Australia,1924,1414597120
Australia,1925,1511004288
Australia,1926,1614120240
Australia,1927,1715462816
Australia,1928,1819568048
Australia,1929,1926765696
Australia,1930,2027562336
Australia,1931,2115817104
Australia,1932,2195765584
Australia,1933,2281382272
Australia,1934,2379126800
Australia,1935,2486969312
Australia,1936,2604052432
Australia,1937,2729562752
Australia,1938,2861540032
Australia,1939,3002190000
Australia,1940,3151307472
Australia,1941,3313611680
Australia,1942,3490454640
Australia,1943,3671082512
Australia,1944,3871345760
Australia,1945,4074386320
Australia,1946,4279343152
Australia,1947,4483611152
Australia,1948,4699274192
Australia,1949,4931751328
Australia,1950,5211541696
Australia,1951,5509886560
Australia,1952,5834330096
Australia,1953,6163148448
Australia,1954,6507414224
Australia,1955,6885758864
Australia,1956,7280694096
Australia,1957,7695132800
Australia,1958,8133321552
Australia,1959,8580267030
Australia,1960,9054148325
Australia,1961,9544243593
Australia,1962,10047867975
Australia,1963,10581087163
Australia,1964,11166722179
Australia,1965,11812631618
Australia,1966,12482947318
Australia,1967,13200538095
Australia,1968,13979070969
Australia,1969,14822767356
Australia,1970,15748077065
Australia,1971,16764552293
Australia,1972,17851978376
Australia,1973,19028093341
Australia,1974,20229068312
Australia,1975,21426798931
Australia,1976,22729086875
Australia,1977,24073533507
